#序号	通用名	剂型	单位	规格	售价	供应商名称	生产日期	库存数量
591	枸椽酸喷托维林片	片剂	盒	25mg*30s	7	黑龙江哈星药业	12/3/23	15
592	复方碱式硝酸铋片	片剂	盒	40s	13	黑龙江哈星药业	12/3/28	14
593	小儿氨酚黄那敏片	片剂	盒	10s	6.5	黑龙江哈星药业	12/3/26	5
594	熊胆黄芩滴眼液	滴剂	盒	5ml	15	黑龙江黑宝药业	12/3/17	9
595	熊胆痔灵膏	软膏	盒	10g	15	黑龙江黑宝药业	12/3/22	5
596	胃康灵胶囊	胶囊剂	盒	0.4g*24s	7.8	黑龙江葵花药业	12/3/22	8
597	牛黄消炎片	片剂	盒	24s	4	黑龙江葵花药业	12/3/16	17
598	健胃消食片（葵花）	片剂	盒	32s	4.5	黑龙江葵花药业	12/3/16	12
599	小儿肺热咳喘口服液	口服液	盒	10ml*6s	21.8	黑龙江葵花药业	12/3/19	14
600	脑立清丸	丸剂	盒	500s	9	黑龙江葵花药业	12/3/17	13
601	牙痛灵	口服液	盒	0.2g*12s	3.5	黑龙江蓝天制药	12/3/27	9
602	鹿强神(旭东美灵康胶囊)	胶囊剂	盒	2s	9.9	黑龙江奇神高科品	12/3/23	9
603	速效止泻胶囊	胶囊剂	盒	12s	9.5	黑龙江省济仁药业	12/3/26	6
604	双黄连口服液（天赐宝）	口服液	盒	10ml*10支	5	黑龙江省珍宝岛制药	12/3/22	5
605	护肝片	片剂	瓶	0.35g×100‘s	13.5	黑龙江五常	12/3/26	8
606	醉不了	片剂	盒	0.5g*3s	6.9	黑龙江中医药大学	12/3/30	15
607	双氯芬酸钾片	片剂	盒	25MG*10s	6.8	湖北安联药业	12/3/30	18
608	加替沙星胶囊	胶囊剂	盒	10mg*24s	23	湖北百科迪药业	12/3/19	11
609	金刚藤胶囊	胶囊剂	盒	0.5g*24s	12	湖北福人药业	12/3/28	6
610	米非司酮胶囊	片剂	盒	12.5mg	18	湖北葛店人福药业	12/3/29	13
611	罗红霉素	胶囊剂	盒	0.15g*12s	9	湖北恒安药业	12/3/31	7
612	盐酸左氧氟沙星片	片剂	盒	0.1g*10s	8.5	湖北恒安药业	12/3/24	20
613	心可宁胶囊	胶囊剂	盒	0.4g*24s	9.5	湖北虎泉药业	12/3/23	8
614	川贝雪梨膏	口服液	瓶	133g	13	湖北华制药	12/3/26	12
615	维生素C片	片剂	瓶	0.1g*100s	1.5	湖北华中药业	12/3/31	5
616	安乃近片	片剂	瓶	0.5g*100s	4	湖北华中药业	12/3/19	7
617	复方磺胺恶唑片	片剂	瓶	100s	7.8	湖北华中药业	12/3/23	12
618	维生素B1	片剂	瓶	10mg*100s	0.8	湖北华中药业	12/3/19	16
619	维生素B6	片剂	瓶	10mg*100s	0.8	湖北华中药业	12/3/24	8
620	马来酸氯苯那敏片	片剂	瓶	4Mg*100s	1	湖北华中药业	12/3/18	9
621	维生素B2片	片剂	瓶	5mg*100s	0.9	湖北华中药业	12/3/22	8
622	红霉素肠溶片	片剂	瓶	0.125g100s	12.5	湖北金龙福药业	12/3/30	13
623	维酶素片	片剂	瓶	100s*0.2g	1.8	湖北绿金子药业	12/3/23	5
624	阿苯达唑片	片剂	盒	0.2g*12s	10	湖北美宝药业	12/3/19	7
625	小儿氨酚黄那敏颗粒（可丽康）	颗粒剂	盒	10s	8	湖北民康制药	12/3/31	7
626	小儿化痰止咳颗粒（可丽清）	颗粒剂	盒	5g*10s	7.5	湖北民康制药	12/3/23	5
627	蛇胆川贝胶囊	胶囊剂	盒	12粒*1板	4.5	湖北纽兰药业	12/3/24	11
628	妇科止带片	片剂	盒	0.4g*36S	10.5	湖北纽兰药业	12/3/20	16
629	香连丸	丸剂	盒	3g*3s	2.5	湖北诺得胜制药	12/3/17	7
630	陪酒师	颗粒剂	盒	2.5g*2s	16	湖北随州康汇品	12/3/26	15
631	午时茶颗粒	颗粒剂	包	6g*20	5.5	湖北午时茶颗粒	12/3/21	7
632	金银花露	口服液	瓶	340ml	3	湖北午时药业	12/3/27	11
633	虫草氨基酸胶囊	胶囊剂	盒	0.4g*24s	35	湖北真浩生物工程	12/3/30	11
634	诺亭好(左炔诺孕酮炔雌醚片)	片剂	盒	6s	12	湖北制药	12/3/21	6
635	盐酸氟桂利嗪胶囊	胶囊剂	盒	20s*5mg	3	湖南迪诺制药	12/3/18	12
636	青霉素V钾片	片剂	盒	0.25*12片	4.8	湖南迪诺制药	12/3/31	6
637	替硝唑片	片剂	盒	0.5g*8S	4	湖南迪诺制药	12/3/27	14
638	双唑泰阴道泡腾片	片剂	盒	7s	18.5	湖南迪诺制药	12/3/24	19
639	奥美拉唑肠溶胶囊(迪诺洛克}	胶囊剂	瓶	20mg*14	6.5	湖南迪诺制药	12/3/27	20
640	小儿复方四维亚铁散	颗粒剂	盒	10G*10袋	18	湖南方盛制药	12/3/18	12
641	陈香白露片	片剂	瓶	0.5g*100s	6.5	湖南汉森制药	12/3/17	13
642	接骨七厘片	片剂	盒	0.3g*30s	21.5	湖南金沙药业	12/3/19	12
643	疏风活络片	片剂	盒	24s	23.5	湖南金沙药业	12/3/31	9
644	灯盏花素片	片剂	盒	0.155g*24s	3.2	湖南康普制药	12/3/23	18
645	益母草颗粒（三金）	颗粒剂	盒	15g*10袋	8	湖南三金制药	12/3/17	7
646	汉桃叶片	片剂	盒	0.38g*45s	8	湖南三金制药	12/3/28	8
647	风热感冒颗粒（999）	颗粒剂	盒	10g*10袋	9	湖南三九南开制药	12/3/18	15
648	清凉防暑颗粒	颗粒剂	盒	10g*10	8	湖南三九南开制药	12/3/16	7
649	益肾灵颗粒	颗粒剂	盒	8g*9s	29.5	湖南三九南开制药	12/3/22	5
650	麝香关节止痛膏	贴膏	盒	7cm*10cm*6片	10	湖南三九唯康药业	12/3/27	19
651	三九胃泰冲剂	颗粒剂	盒	20g*6	6.8	湖南三九医药	12/3/17	19
652	安君宁	丸剂	盒	6g*10袋	98	湖南泰尔制药	12/3/30	7
653	妇炎康片	片剂	盒	48s	19.5	湖南湘泉制药	12/3/18	13
654	正清风痛宁片	片剂	盒	24s	7.5	湖南正清制药集团	12/3/27	7
655	四磨汤口服液	口服液	盒	10ml*10s	15	湖南中达骛马制药	12/3/31	13
656	阿莫西林胶囊	胶囊剂	盒	0.5G*10S	5	华北制药集团制剂	12/3/23	18
657	翁沥通胶囊	胶囊剂	盒	0.4g*24s	15	华北制药集团制剂	12/3/25	19
658	金刚藤糖浆	口服液	盒	150ml	8.5	怀化正好制药	12/3/17	17
659	盐酸吗啉胍片	片剂	瓶	0.1g*100s	1	淮南佳盟药业	12/3/29	18
660	枸椽酸西地那非片	片剂	盒	0.1g*1s	125	辉瑞制药	12/3/22	12
661	苯磺酸氨氯地平片（络活喜）	片剂	盒	5mg*7s	32.8	辉瑞制药	12/3/30	6
662	塞来划昔布胶囊（西乐葆）	胶囊剂	盒	0.2g*6s	35	辉瑞制药	12/3/17	11
663	希舒美(阿奇霉素干混悬剂)	颗粒剂	盒	0.1g*6s	45.8	辉瑞制药	12/3/31	11
664	阿奇霉素片	片剂	盒	0.25g*6	75	辉瑞制药	12/3/31	8
665	瑞易宁（格列吡嗪控释片）	片剂	盒	5mg*14s	33.5	辉瑞制药进口	12/3/31	10
666	立普妥(阿托伐他汀钙片)	片剂	盒	10mg*7s	44.5	辉瑞制药进口	12/3/22	11
667	回音必头孢拉定胶囊	胶囊剂	盒	0.25g*24s	4.7	回音必集团浙江亚东	12/3/21	11
668	氧氟沙星胶囊	胶囊剂	盒	20s	5	回音必集团浙江亚东	12/3/21	19
669	回音必孕康口服液	口服液	盒	10ml×10支	27.5	回音必集团浙江亚东	12/3/18	18
670	小儿善存片	片剂	盒	30‘s	23.5	惠氏制药	12/3/30	11
671	盐酸米诺环素胶囊（美满）	胶囊剂	盒	100mg*10s	49.5	惠氏制药	12/3/19	18
672	养血饮口服液	口服液	盒	10ml*10s	24.8	吉林敖东力源药业	12/3/24	8
673	心脑舒通胶囊	胶囊剂	盒	15mg×30‘s	18.8	吉林敖东南药业	12/3/18	20
674	安神补脑液	口服液	盒	10ml*10	16	吉林敖东延边药业	12/3/30	11
675	胃痛定胶囊	胶囊剂	盒	12s	16	吉林健今药业	12/3/18	12
676	消炎止咳片	片剂	盒	0.35g*24s	8	吉林金宝药业	12/3/26	8
677	止痛化症胶囊	胶囊剂	盒	40S	19.8	吉林金宝药业	12/3/17	20
678	中风再造丸	丸剂	盒	一套10盒	1880	吉林金泉宝山药业	12/3/31	17
679	前列舒乐胶囊	胶囊剂	盒	15s*6板	115	吉林临江市宏大药业	12/3/27	12
680	肾炎舒片	片剂	盒	0.27g*36s	16	吉林鹿王制药	12/3/20	7
681	心脑舒通片	片剂	盒	0.25g*30s	14.8	吉林南药业	12/3/30	16
682	熊胆丸	丸剂	盒	24s	23	吉林省辉南生化药业	12/3/29	10
683	咽炎片（长龙）	片剂	盒	0.25g*24	9.8	吉林省辉南长龙	12/3/16	11
684	藿香清胃胶囊	胶囊剂	盒	28s	25	吉林省俊宏药业	12/3/17	9
685	宫炎康颗粒	颗粒剂	盒	9g*8袋	22.5	吉林省俊宏药业	12/3/20	12
686	暖胃舒乐片	片剂	盒	45s	17.5	吉林省俊宏药业	12/3/17	10
687	固肾生发丸	丸剂	盒	2.5g*12s	38	吉林省俊宏药业	12/3/20	16
688	四维他胶囊	胶囊剂	盒	12s	12.5	吉林省吴太感康药业	12/3/27	16
689	氨苄西林丙磺舒胶囊	胶囊剂	盒	0.25g*20s	28	吉林省银诺克药业	12/3/17	6
690	肺宁胶囊(还魂草胶囊)	胶囊剂	盒	24s	18	吉林省银诺克药业	12/3/19	15
691	麝香接骨胶囊	胶囊剂	盒	30s	16.5	吉林省银诺克药业	12/3/28	20
692	净石灵胶囊	胶囊剂	盒	45s	35	吉林省银诺克药业	12/3/20	20
693	乳宁片	片剂	盒	0.35g*30s	29	吉林省银诺克药业	12/3/22	10
694	风湿关节炎片	片剂	盒	24s	14	吉林省银诺克药业	12/3/23	6
695	五子衍宗片	片剂	盒	24s	16	吉林省银诺克药业	12/3/30	11
696	消渴灵片	片剂	盒	48片	19	吉林省银诺克药业	12/3/27	7
697	妇洁舒洗液	外用洗剂	盒	120ml	21	吉林省银诺克药业	12/3/23	7
698	克银丸	丸剂	盒	10g*4袋	18	吉林省银诺克药业	12/3/28	12
699	白癜风丸	丸剂	盒	30丸*2小盒唱	36	吉林省银诺克药业	12/3/26	13
700	羚羊角颗粒	颗粒剂	盒	2.5g*6袋	25	吉林首席药业	12/3/21	6
701	氨酚伪麻胶囊（达风）	胶囊剂	盒	12s	9.5	吉林万通药业	12/3/24	5
702	颈痛灵药酒	口服液	瓶	250ml	35	吉林万通药业	12/3/18	15
703	咽炎片	片剂	盒	0.26g*30s	7.8	吉林吴太感康药业	12/3/24	15
704	复方氨酚烷胺片(感康)	片剂	盒	12S	8.8	吉林吴太感康药业	12/3/19	10
705	脑心舒口服液	口服液	盒	10ml*10s	8	吉林显锋科技制药	12/3/28	12
706	养血安神片	片剂	瓶	0.25g*100s	15	吉林修正药业集团	12/3/20	17
707	参茸补肾片	片剂	盒	24s*0.3G	25	吉林一正药业集团	12/3/24	11
708	一正泰	片剂	盒	36s	15	吉林一正药业集团	12/3/18	14
709	复方银翘氨敏胶囊	胶囊剂	盒	12s	9.8	吉林一正药业集	12/3/28	8
710	小儿感冒宁糖浆	口服液	盒	100ml	13.5	吉林益民堂制药	12/3/30	13
711	利咽灵片	片剂	盒	24s	9.5	吉林长恒药业	12/3/20	10
712	妇舒安(小金丸)	丸剂	盒	1.2G*4s	8	吉林镇赉银诺克药业	12/3/16	7
713	金盟	片剂	盒	6s	17	吉林制药	12/3/16	10
714	甲状腺片	片剂	瓶	40mg*100s	2	济南维尔康生化制药	12/3/21	17
715	别嘌醇片	片剂	瓶	0.1g*100s	6.8	江苏方强制药厂	12/3/30	8
716	地巴唑片	片剂	瓶	10mg1*100s	0.9	江苏方强制药厂	12/3/31	14
717	阿奇霉素胶囊	胶囊剂	盒	0.25g*6S	12.5	江苏福邦药业	12/3/30	14
718	盐酸左氧氟沙星胶囊	胶囊剂	盒	0.1g*12s	9.8	江苏福邦药业	12/3/20	12
719	雷贝拉唑钠肠溶片	片剂	盒	10mg*7s	22.5	江苏豪森药业	12/3/22	13
720	厄贝沙坦片	片剂	盒	0.15g*7s	15.8	江苏恒瑞医药	12/3/31	20
721	盐酸氨溴索口服溶液	口服液	瓶	100ml	12	江苏恒瑞医药	12/3/19	8
722	盐酸氨溴索口服溶液(贝莱)	口服液	瓶	100ML:0.6G	19.5	江苏恒瑞医药	12/3/19	8
723	磷酸呱嗪宝塔糖	丸剂	盒	0.2g*20s	3.8	江苏黄河药汪股分	12/3/26	6
724	阿替洛尔片	片剂	瓶	25mg*100s	3.5	江苏黄河药业	12/3/20	6
725	利可君片	片剂	盒	10mg*48s	19.8	江苏吉贝尔药业	12/3/20	18
726	愈美片	片剂	盒	12s	11.5	江苏聚荣制药集团	12/3/16	5
727	桂枝茯苓胶囊	胶囊剂	盒	60s	33.8	江苏康缘药业	12/3/24	17
728	敏迪(特非那定片)	片剂	盒	60mg*12s	3.9	江苏联环药业	12/3/16	17
729	甲磺酸酚妥拉明分散片	片剂	盒	40mg*2s	64	江苏联环药业	12/3/21	17
730	鲨肝醇片	片剂	瓶	50mg*100s	3	江苏鹏鹞药业	12/3/21	12
731	小儿感冒颗粒	颗粒剂	盒	12g*6s	6	江苏平光中药	12/3/24	17
732	去痛片	片剂	瓶	100s	4	江苏平光(焦作)	12/3/23	14
733	硫酸沙丁胺醇片	片剂	瓶	100s	1.8	江苏平光制药	12/3/25	7
734	异烟肼片	片剂	瓶	0.1g*100s	2.5	江苏瑞年前进制药	12/3/26	8
735	盐酸维拉帕米片（异博定）	片剂	瓶	40mg*30s	3	江苏瑞年前进制药	12/3/29	8
736	克拉霉素胶囊（桑美）	胶囊剂	盒	0.25g*6	9.8	江苏亚邦爱普森药业	12/3/26	10
737	丙谷胺片	片剂	瓶	0.2g*50s	3	江苏亚邦爱普森药业	12/3/26	14
738	肾上腺色腙片（安络血）	片剂	瓶	2.5mg*100s	1.6	江苏亚邦爱普森药业	12/3/29	16
739	六味地黄滴丸	丸剂	盒	20代	36.5	江苏颐海药业	12/3/19	18
740	盐酸二甲双胍缓释片(泰白)	片剂	瓶	0.5g*30s	14.8	江苏正大天晴药业	12/3/28	12
741	二十四味颗粒	颗粒剂	包	10g*16s	5.8	江西百禾药业	12/3/16	5
742	金银花颗粒	颗粒剂	包	10g*16s	5.8	江西百禾药业	12/3/27	5
743	驴胶补血（口服液）	口服液	盒	10ml*10支	25	江西百禾药业	12/3/23	17
744	活血止痛胶囊	胶囊剂	盒	0.25g*24s	8	江西百神昌诺药业	12/3/17	15
745	复方乌鸡口服液	口服液	盒	10ml*12s	25	江西半边天药业	12/3/16	15
746	解酒灵	口服液	盒	10ml*6s	5	江西慈济生物科技	12/3/16	6
747	化积口服液	口服液	盒	10ml*6s	5	江西地威药业	12/3/30	12
748	复方夏天无片	片剂	盒	36s	14.8	江西复方夏天无片	12/3/19	5
749	甲硝唑口颊片	片剂	盒	3ml*24s	22	江西广信药业	12/3/28	14
750	康乃馨抗宫炎片	片剂	盒	0.25g*120片	24	江西海尔思药业	12/3/16	7
751	下火王颗粒	颗粒剂	包	10g*16s	5.8	江西禾药业	12/3/22	19
752	复方鲜竹沥液	口服液	盒	10毫升*6支	4.8	江西汇仁药业	12/3/18	17
753	肾宝盒剂	口服液	瓶	150ml	23.5	江西汇仁药业	12/3/24	20
754	金水宝胶囊	胶囊剂	瓶	63s	30.8	江西济民可信金水宝	12/3/18	15
755	复方杏香兔耳风颗粒	颗粒剂	盒	9g*6袋	21	江西京美联药业通	12/3/19	12
756	薄荷桉油含片II	片剂	盒	20s	6.5	江西桔王药业	12/3/26	20
757	复方罗布麻片I	片剂	瓶	100s	1.2	江西桔王药业	12/3/16	20
758	白蛋白多肽	口服液	盒	10ml*20s	68	江西巨能生物制品	12/3/24	17
759	幼儿清火宝	颗粒剂	盒	160g	25	江西每伴食品	12/3/22	13
760	幼儿开宝	颗粒剂	盒	8g*20s	25	江西每伴食品	12/3/19	14
761	宫炎平分散片	片剂	盒	36s	24.5	江西民济药业	12/3/30	13
762	复方瓜子金颗粒	颗粒剂	盒	12s	13.5	江西南昌济生制药厂	12/3/24	5
763	一清软胶囊	胶囊剂	盒	24s	18	江西欧氏药业	12/3/28	8
764	清热解毒口服液	口服液	盒	10ml*10s	9.5	江西三九药业	12/3/27	5
765	萘敏维滴眼液（闪亮）	滴剂	盒	10ML	5.8	江西闪亮制药	12/3/26	16
766	维生素AD胶丸（0-1岁）	胶囊剂	盒	20s	19	江西天海药业	12/3/30	13
767	维生素AD胶丸（1岁以上）	胶囊剂	盒	20s	15	江西天海药业	12/3/29	8
768	牛黄上清胶囊	胶囊剂	盒	0.3g*24s	13.5	江西天施康中药	12/3/22	8
769	肠炎宁片	片剂	盒	0.42g*48s	16.5	江西天施康中药	12/3/21	15
770	肠炎宁糖浆	口服液	盒	10ml*6s	16.8	江西天施康中药	12/3/26	14
771	抗宫炎片	片剂	盒	100S	2.8	江西天施康中药	12/3/30	16
772	优卡丹（小儿氨酚烷胺颗粒）	颗粒剂	盒	10s	5.5	江西铜鼓仁和制药	12/3/30	5
773	仁和可立克	口服液	盒	10s	4.5	江西铜鼓仁和制药	12/3/17	14
774	更年安胶囊	胶囊剂	盒	24s	17.6	江西新赣江药业	12/3/20	12
775	猴耳环消炎颗粒	颗粒剂	盒	6g*9袋	23	江西杏林白马药业	12/3/27	12
776	清热通淋片	片剂	盒	0.39g*36s	15	江西杏林白马药业	12/3/26	13
777	妇炎净片	片剂	盒	36s	9.8	江西药都仁和制药	12/3/21	20
778	痔速宁片	片剂	盒	30s	12.5	江西药都仁和制药	12/3/31	19
779	养胃舒软胶囊	胶囊剂	盒	16s	16.8	江西药业	12/3/20	11
780	川贝止咳糖浆	口服液	瓶	100ml	9.5	江西远东药业	12/3/16	16
781	云芝肝泰颗粒	颗粒剂	盒	5g*20s	35	江西泽众制药	12/3/16	19
782	复方草珊瑚含片	片剂	盒	0.44g×48‘s	3.9	江中药业	12/3/28	9
783	亮嗓	片剂	盒	2g*12s	4	江中药业	12/3/31	11
784	江中健胃消食片	片剂	盒	0.5g*36s	4.9	江中药业	12/3/30	6
785	京都南菴堂蜜炼杷膏	口服液	盒	150ml	15	揭阳康林生物工程	12/3/27	6
786	卵白蛋白口服液	口服液	盒	250ml*3	68	金华佰益生物科技	12/3/19	12
787	血宝口服液	口服液	盒	250Ml*3	68	金华佰益生物科技	12/3/29	14
788	冬虫夏草口服液	口服液	盒	250ML*3s	95	金华佰益生物科技	12/3/22	12
789	虫草氨基酸口服液	口服液	盒	250ml*3瓶	68	金华佰益生物科技	12/3/20	7
790	西洋参口服液	口服液	盒	250ml3s	68	金华佰益生物科技	12/3/26	12
791	羊胎素口服液	口服液	盒	250ml*3s	78	金华佰益生物科	12/3/24	14
792	润喉片	片剂	盒	1.5g*9s	4	金华干抽健生物科技	12/3/28	5
793	胃得安片	片剂	盒	0.46克*100片	13.2	金陵药业福州梅峰	12/3/20	11
794	胃得安胶囊	胶囊剂	盒	36s	9.8	金陵药业福州梅峰	12/3/24	8
795	京都念慈庵蜜炼川贝枇杷膏	口服液	瓶	300毫升	31.5	京都念慈庵总厂	12/3/25	19
796	猴头菌片	片剂	瓶	0.25g*100s	1.5	荆州金海药业	12/3/20	12
797	通宣理肺丸	丸剂	盒	6g*10s	5	九芝堂	12/3/24	18
798	麻杏止咳糖浆	口服液	瓶	120ml	8	九芝堂	12/3/28	18
799	桂附地黄丸	丸剂	瓶	200S	8	九芝堂	12/3/29	14
800	逍遥丸	丸剂	瓶	200s	6.5	九芝堂	12/3/23	18
801	驴胶补血颗粒	颗粒剂	碗	20g*20s	33.5	九芝堂	12/3/25	12
802	人安牌救心丸	丸剂	盒	20粒	115	救心制药株式会社	12/3/24	19
803	廿四味	颗粒剂	包	15s	5.5	康仁厦门品	12/3/25	8
804	健儿消食口服液(葵花)	口服液	盒	10ml*6支	15.5	葵花药业(重庆)	12/3/21	5
805	醋酸钙颗粒	颗粒剂	盒	12包	24	昆明邦宇制药	12/3/22	9
806	余麦口咽盒剂	外用洗剂	瓶	100ml	17.5	昆明滇虹药业	12/3/26	9
807	盐酸特比萘芬乳膏(康王)	软膏	支	10g	12.5	昆明滇虹药业	12/3/23	15
808	金熊炎必克胶囊	丸剂	盒	0.25g*10粒	13	昆明金殿制药	12/3/16	19
809	通舒口爽胶囊	胶囊剂	盒	0.3g*12s*2板	25	昆明群芳药业	12/3/16	16
810	血塞通软胶囊	胶囊剂	盒	0.33g*24s	0	昆明圣火药业()	12/3/24	11
811	普乐安片	片剂	瓶	60s	4.8	昆明云建制药	12/3/26	15
812	阮氏上清丸	丸剂	盒	8g	7	昆明中医厂	12/3/20	11
813	宝宝乐咀嚼片	片剂	盒	24s*0.8G	33	莱阳江波制药	12/3/27	9
814	珍菊降压片	片剂	盒	0.25g*60s	8.8	雷允上药业	12/3/17	18
815	头孢克洛胶囊	胶囊剂	盒	0.25g*6	28.5	礼来苏州制药	12/3/16	10
816	丽珠得乐胶囊	胶囊剂	盒	40‘s	23.5	丽珠集团丽珠制药厂	12/3/21	14
817	丽珠得乐（枸橼酸铋钾颗粒）	颗粒剂	盒	56包	24.5	丽珠集团丽珠制药厂	12/3/26	16
818	泛昔洛韦片（丽珠风）	片剂	盒	0.125g*6	12.5	丽珠集团丽珠制药厂	12/3/17	16
819	盐酸伐昔洛韦片（丽珠威）	片剂	盒	0.15g*6	26.8	丽珠集团丽珠制药厂	12/3/27	17
820	丽珠克毒星(阿昔洛韦片）	片剂	盒	0.1g×24‘s	8.8	丽珠集团丽珠制药厂	12/3/27	15
821	丽珠奇乐(阿奇霉素片)	片剂	盒	0.25g*6	7	丽珠集团丽珠制药厂	12/3/22	17
822	丽珠肠乐	胶囊剂	盒	10粒	13.8	丽珠集团制药厂	12/3/26	17
823	丽珠维三联	片剂	盒	8S	22.8	丽珠集团制药厂	12/3/19	12
824	桂利嗪片（脑益嗪）	片剂	瓶	100s	2.5	丽珠利民制药厂	12/3/17	13
825	克拉霉片（甲力）	片剂	盒	02.5g*6	12.8	丽珠制药厂	12/3/21	14
826	钙铁锌硒维生素	片剂	瓶	1500mg*90s	32	连云港盖士力	12/3/27	6
827	儿童成长高钙片	片剂	瓶	90s	32	连云港盖士力	12/3/26	16
828	中老高钙片	片剂	瓶	90s	32	连云港盖士力	12/3/26	14
829	平消片	片剂	盒	0.23g*100S	26	辽宁东方人药业	12/3/22	15
830	四季感冒片	片剂	盒	0.36G*30s	12.5	辽宁粉海制药	12/3/26	13
831	乳癖消片	片剂	瓶	0.32g×100‘s	9.8	辽宁好护士药业	12/3/17	7
832	气滞胃痛冲剂(无糖型)	颗粒剂	盒	5g×9包	18	辽宁华源本溪山药	12/3/19	16
833	茸血补脑液	口服液	盒	10ml*10支	65	辽宁金丹药业	12/3/20	19
834	大生瑞丽（氯雷他定片）	片剂	盒	10mg*6s	13.5	辽宁先臻制药	12/3/17	9
835	盐酸异丙嗪片（非那根片）	片剂	瓶	100s	1.5	辽源市迪康药业	12/3/27	17
836	保胎灵	片剂	盒	48s	28.5	辽源誉亚东药业	12/3/24	14
837	酚酞片	片剂	瓶	0.1g*100s	1.2	临分药业	12/3/25	6
838	吲哚美辛片	片剂	瓶	25MG*100s	1.4	临汾奇林药业	12/3/22	18
839	儿童高钙D3钙片	片剂	罐	1.5g*90s	35.8	临忻健生堂医药	12/3/27	7
840	高钙片	片剂	瓶	2.0g*60s	38	临忻健生堂医药	12/3/25	18
841	孕妇高钙片	片剂	瓶	2g*60s	38	临忻健生堂医药	12/3/20	20
842	小儿愈美那敏溶液（佩夫人）	口服液	瓶	40ml	15.5	卢森堡大药厂	12/3/30	6
843	佩夫人克露	口服液	瓶	60nl	15	卢森堡大药厂	12/3/16	10
844	单硝酸异山梨酯片	片剂	盒	20mg*48s	38.5	鲁南贝特制药	12/3/28	13
845	复方氯唑沙宗片(鲁南贝特)	片剂	盒	24s	14.2	鲁南贝特制药	12/3/25	17
846	银黄含化片	片剂	盒	24s	5.5	鲁南厚普制药	12/3/31	8
847	小儿消积止咳口服液	口服液	盒	10ml*6s	12.8	鲁南厚普制药	12/3/24	15
848	心通口服液	口服液	盒	10毫升*6支	8	鲁南厚普制药	12/3/26	13
849	乳核内消液	口服液	盒	10ml*10s	46	洛阳顺勢药业	12/3/19	17
850	多种维生素胶囊	胶囊剂	瓶	1100mg*60s	98	美国	12/3/19	20
851	深海鱼油(金健)	胶囊剂	瓶	1450mg*100s	68	美国	12/3/17	11
852	深海鱼油胶囊	胶囊剂	瓶	1450mg*200s	128	美国	12/3/29	6
853	液体钙+D3(金健)	胶囊剂	瓶	1470mg*200s	115	美国	12/3/24	6
854	阿拉斯佳大豆磷脂胶囊	胶囊剂	瓶	1750Mg*100s	68	美国	12/3/28	9
855	儿童多种维生素胶囊	胶囊剂	瓶	500mg*100s	98	美国	12/3/30	16
856	阿拉斯佳大蒜精胶囊	胶囊剂	瓶	500mg*500s	158	美国	12/3/30	6
857	阿拉斯佳蜂胶胶囊	胶囊剂	瓶	750mg*100s	148	美国	12/3/23	15
858	阿拉斯佳芦荟胶囊	胶囊剂	瓶	750Mg*100s	98	美国	12/3/24	10
859	大豆异黄酮软及囊	胶囊剂	瓶	750mg*100s	198	美国	12/3/26	6
860	儿童鱼油(金健)	胶囊剂	瓶	750mg*100s	85	美国	12/3/20	9
861	葡萄籽软胶囊	胶囊剂	瓶	750mg*100s	228	美国	12/3/18	12
862	鲨鱼软骨粉胶囊	胶囊剂	瓶	750mg*100S	238	美国	12/3/17	9
863	羊胎素软胶囊(金健)	胶囊剂	瓶	750mg*100s	228	美国	12/3/21	15
864	阿拉斯佳牛初乳片	胶囊剂	瓶	800mg*100	178	美国	12/3/24	10
865	牛乳钙片	片剂	瓶	1270mg*100s	138	美国	12/3/29	9
866	天然维生素C口嚼片	片剂	瓶	1450mg*60s	98	美国	12/3/30	16
867	褪黑素(金健)	片剂	瓶	400mg*60s	68	美国	12/3/22	10
869	天然螺旋藻片	片剂	瓶	500mg*60s	128	美国胜天国际集团	12/3/26	5
870	天然卵磷脂胶囊	胶囊剂	瓶	1200mg*200s	128	美国胜天国际集团	12/3/22	19
871	褪黑素(KR)	胶囊剂	瓶	250mg*60s	65	美国胜天国际集团	12/3/30	8
872	美国液体钙	胶囊剂	瓶	300Mg*150s	100	美国胜天国际集团	12/3/23	7
873	羊胎盘胶囊	胶囊剂	瓶	750MG*60s	248	美国胜天国际集团	12/3/26	15
874	儿童鱼油胶囊	胶囊剂	瓶	750ml*100s	68	美国胜天国际集团	12/3/28	14
875	排毒双效株	胶囊剂	盒	72s	95	美国天然健康资源	12/3/26	7
876	酮洛芬肠溶胶囊	胶囊剂	盒	50mg*10s	12	牡丹江灵泰药业	12/3/19	16
877	血鹰口服液	口服液	盒	10ml*20s	0	南昌康尔聪品	12/3/27	20
878	晶婷(长效口服避孕药)	片剂	盒	3s	6	南京白敬宇制药	12/3/28	15
879	允婷(短效口服避孕滴丸)	丸剂	盒	22s	8	南京白敬宇制药	12/3/22	15
880	奋乃静片	片剂	瓶	2mg*100s	1.9	南京白敬宇制药	12/3/28	12
881	臣功再欣颗粒	颗粒剂	盒	12包	9.5	南京臣功制药	12/3/17	5
882	愈美颗粒	颗粒剂	盒	12ml	13.5	南京臣功制药	12/3/30	6
883	维生素AD滴剂(胶囊型)	胶囊剂	盒	350MG*20S	12	南京海鲸药业	12/3/29	20
